supplier,sku,manufacturer,category,description,item_type,unit_cost,unit_sell,lead_time_days
Connected Hospitality,LAB-PM-DAY,Connected Hospitality,Professional Services,Project Management Day,labour,450,750,0
Connected Hospitality,LAB-ENG-DAY,Connected Hospitality,Engineering,Engineering Day Rate,labour,350,650,0
Connected Hospitality,SVC-WIFI-DESIGN,Connected Hospitality,Design Services,WiFi Design Service,service,500,950,0
BNS Distribution,,Ruckus,Wireless AP,Ruckus Test Access Point,product,100,150,7
BNS Distribution,GWN7062ET,Grandstream,ATA & Gateways,GWN7062ET ROUTER INC 2 X FXS,product,£39.00,£58.00,7
BNS Distribution,GXW4216-V2,Grandstream,ATA & Gateways,GXW4216 V2 FXS 16 PORT GATEWAY,product,£248.00,£335.00,7
BNS Distribution,GXW4224-V2,Grandstream,ATA & Gateways,GXW4224 V2 24PORT FXS GATEWAY,product,£365.00,£521.00,7
BNS Distribution,GXW4232-V2,Grandstream,ATA & Gateways,GXW4232 V2 32PORT FXS GATEWAY,product,£418.00,£708.00,7
BNS Distribution,GXW4248-V2,Grandstream,ATA & Gateways,GXW4248 V2 48 PORT FXS GATEWAY,product,£604.00,"£1,118.00",7
BNS Distribution,HT801,Grandstream,ATA & Gateways,HT801 1 X FXS ATA,product,£26.00,£36.00,7
BNS Distribution,HT801-V2,Grandstream,ATA & Gateways,HT801-V2 1 PORT FXS ATA TELEPHONE ADAPTOR,product,£26.00,£33.00,7
BNS Distribution,HT802-V2,Grandstream,ATA & Gateways,HT802-V2 2 PORT ATA TELEPHONE ADAPTOR,product,£29.00,£37.00,7
BNS Distribution,HT812-V2,Grandstream,ATA & Gateways,HT812 V2 2 PORT ATA IP TELEPHONE ADAPTOR,product,£34.00,£44.00,7
BNS Distribution,HT813,Grandstream,ATA & Gateways,HT813 1 FXS 1 FXO ATA,product,£48.00,£70.00,7
BNS Distribution,HT814,Grandstream,ATA & Gateways,HT814 4FXS ATA **FINAL CALL**,product,£59.00,£88.00,7
BNS Distribution,HT814-V2,Grandstream,ATA & Gateways,HT814 V2 4FXS ATA,product,£54.00,£74.00,7
BNS Distribution,HT818-V2,Grandstream,ATA & Gateways,HT818 V2 8PORT FXS ATA,product,£83.00,£118.00,7
BNS Distribution,HT841,Grandstream,ATA & Gateways,HT841 Analog FXO Gateways,product,£84.00,£126.00,7
BNS Distribution,HT881,Grandstream,ATA & Gateways,HT881 Analog FXO Gateways,product,£122.00,£185.00,7
BNS Distribution,PSU-GXW41XX,Grandstream,ATA & Gateways,"PSU for GXW4104, GXW4108",product,£8.00,£15.00,7
BNS Distribution,PSU-GXW4248,Grandstream,ATA & Gateways,PSU for GXW4248,product,£44.00,£60.00,7
BNS Distribution,PSU-GXW42XX,Grandstream,ATA & Gateways,"PSU for GXW4216, GXW4224, GXW4232",product,£20.00,£35.00,7
BNS Distribution,PSU-HT80X,Grandstream,ATA & Gateways,"PSU for HT801, HT802",product,£4.00,£8.00,7
BNS Distribution,PSU-HT814,Grandstream,ATA & Gateways,PSU for HT814,product,£4.00,£8.00,7
BNS Distribution,PSU-HT818,Grandstream,ATA & Gateways,PSU for HT818,product,£4.00,£8.00,7
BNS Distribution,PSU-HT81X,Grandstream,ATA & Gateways,"PSU for HT812, HT813, GHP610, GHP611",product,£4.00,£8.00,7
BNS Distribution,GCC-UC-50SMB,Grandstream,IP PBX,GCC60xx Licence for extra 50 IP PBX SIP users/12 concurrent calls,product,£24.00,£41.00,7
